;;;;;;;;;;
Wk³adki do studni  1000;;;;Wk³adki do studni  1200;;;;;;
;;;;;;;;;;
Kineta;Prosta;dod.wlot  w linii górnej;;Kineta;Prosta;dod.wlot  w linii górnej;;;;
150; 920,00 z³ ; 300,00 z³ ;;150; 1 050,00 z³ ; 350,00 z³ ;;;;
200; 990,00 z³ ; 300,00 z³ ;;200; 1 200,00 z³ ; 350,00 z³ ;;;;
250; 1 200,00 z³ ; 300,00 z³ ;;250; 1 350,00 z³ ; 400,00 z³ ;;;;
300; 1 300,00 z³ ; 300,00 z³ ;;300; 1 400,00 z³ ; 450,00 z³ ;;;;
400; 1 520,00 z³ ; 550,00 z³ ;;400; 1 550,00 z³ ; 600,00 z³ ;;;;
500; 1 680,00 z³ ; 750,00 z³ ;;500; 1 800,00 z³ ; 750,00 z³ ;;;;
600; 1 790,00 z³ ; 850,00 z³ ;;600; 1 920,00 z³ ; 900,00 z³ ;;;;
;;;;800; 2 600,00 z³ ; 1 450,00 z³ ;;;;
;;;;;;;;;;
;;;;;;;;;;
W przypadku wyst¹pienia  spadku w kinecie , spadku w mufie,  wloty w linii górnej obowi¹zuja poni¿sze ceny (jako dop³aty);;;;;;;;;;
Dop³ata za spadek w kinecie;;;;Dop³ata za spadek w kinecie;;;;;;
;œr. 150 - 600;;;;œr. 150 - 300;œr. 400 - 800;;;;
2-4%;; 250,00 z³ ;;2 - 4 %; 250,00 z³ ; 400,00 z³ ;;;;
od 4-20%;; 450,00 z³ ;;>4 - 10 %; 400,00 z³ ; 500,00 z³ ;;;;
;;;;>10 - 20%; 500,00 z³ ; 650,00 z³ ;;;;
;;;;>20%; 600,00 z³ ; 750,00 z³ ;;;;
;;;;;;;;;;
Wloty nie w linii górnej (uniesienie kinety);;;;Wloty nie w linii górnej (uniesienie kinety);;;;;;
; œr. 150 - 300;œr. 400 - 600;;;œr. 150 - 300;œr. 400 - 800;;;;
do 100 mm; 150,00 z³ ; 200,00 z³ ;;do 100 mm; 200,00 z³ ; 260,00 z³ ;;;;
do 200 mm; 260,00 z³ ; 320,00 z³ ;;do 200 mm; 320,00 z³ ; 400,00 z³ ;;;;
do 300 mm; 400,00 z³ ; 480,00 z³ ;;do 300 mm; 440,00 z³ ; 500,00 z³ ;;;;
do 400 mm; 500,00 z³ ; 650,00 z³ ;;do 400 mm; 550,00 z³ ; 600,00 z³ ;;;;
;;;;;;;;;;
Redukcja kinety;;;;Redukcja kinety;;;;;;
